Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-03,Delhi,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
2024-05-03,Delhi,dillleaves,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
2024-05-03,Delhi,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
2024-05-03,Delhi,brinjal,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
2024-05-03,Delhi,brinjalbig,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
2024-05-03,Delhi,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
2024-05-03,Delhi,fenugreekleaves,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
2024-05-03,Delhi,frenchbeans,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
2024-05-03,Delhi,garlic,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
2024-05-03,Delhi,ginger,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
2024-05-03,Delhi,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-03,Delhi,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
2024-05-03,Delhi,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
2024-05-03,Delhi,lemon,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
2024-05-03,Delhi,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
2024-05-03,Delhi,mintleaves,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
2024-05-03,Delhi,mushroom,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
2024-05-03,Delhi,mustardleaves,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
